Year,Faculty,Tuition
1841-1842,3,30.00
1842-1843,3,30.00
1843-1844,4,30.00
1845-1846,4,48.00
1846-1847,4,48.00
1847-1848,4,48.00
1848-1849,3,48.00
1849-1850,3,48.00
1850-1851,4,48.00
1851-1852,4,48.00
1852-1853,4,48.00
1853-1854,4,49.00
1854-1855,6,53.00
1855-1856,6,66.00
1856-1857,6,74.00
1857-1858,6,76.00
1858-1859,6,80.00
1860-1861,7,62.00
1867-1868,4,67.00
1868-1869,5,67.00
1869-1870,7,67.00
1870-1871,7,121.75
1872-1873,7,80.00
1874-1875,7,105.00
1875-1876,7,105.00
1876-1877,6,105.00
1880-1881,7,105.00
1881-1882,7,105.00
1882-1883,7,105.00
1883-1884,7,127.00
1884-1885,7,127.00
1885-1886,7,123.00
1888-1889,8,123.00
1889-1890,8,123.00
1890-1891,9,125.00
1891-1892,8,125.00
1891-1982,126,7145.00
1892-1893,9,125.00
1893-1894,9,128.00
1894-1895,10,124.00
1895-1896,10,124.00
1896-1897,10,124.50
1897-1898,10,124.25
1898-1899,11,105.00
1899-1900,10,105.00
1900-1901,10,124.50
1901-1902,10,124.50
1902-1903,8,102.00
1903-1904,10,105.00
1904-1905,10,107.00
1905-1906,13,86.00
1906-1907,13,86.00
1907-1908,13,86.00
1908-1909,13,88.00
1909-1910,13,89.00
1910-1911,14,89.00
1911-1912,15,89.00
1912-1913,15,94.00
1913-1914,13,94.00
1914-1915,13,94.00
1915-1916,18,95.00
1916-1917,18,158.00
1917-1918,18,159.00
1918-1919,19,159.00
1919-1920,18,224.00
1920-1921,19,225.00
1921-1922,21,257.00
1922-1923,23,269.00
1923-1924,25,269.00
1924-1925,28,275.00
1925-1926,29,286.50
1926-1927,34,233.00
1927-1928,37,233.00
1928-1929,37,225.50
1929-1930,44,268.50
1930-1931,43,348.50
1931-1932,43,348.50
1932-1933,39,349.00
1933-1934,40,350.50
1934-1935,44,494.50
1935-1936,41,504.50
1936-1937,41,498.00
1937-1938,48,498.00
1938-1939,47,498.00
1939-1940,47,534.50
1940-1941,50,518.00
1941-1942,49,518.00
1942-1943,47,540.00
1943-1944,47,540.00
1944-1945,38,690.00
1945-1946,36,465.00
1946-1947,57,480.00
1947-1948,54,485.00
1948-1949,60,485.00
1949-1950,61,505.00
1950-1951,62,1015.00
1951-1952,63,1015.00
1952-1953,63,1095.00
1953-1954,63,1095.00
1954-1955,63,1115.00
1955-1956,63,1115.00
1956-1957,65,1215.00
1957-1958,68,1265.00
1958-1959,71,1365.00
1959-1960,75,1365.00
1960-1961,75,1465.00
1961-1962,82,1490.00
1962-1963,97,1615.00
1963-1964,91,1715.00
1964-1965,92,2045.00
1965-1966,92,2000.00
1966-1967,91,2140.00
1967-1968,97,2345.00
1968-1969,100,2345.00
1969-1970,100,2605.00
1970-1971,110,2830.00
1971-1972,104,3165.00
1972-1973,110,3390.00
1973-1974,113,3590.00
1974-1975,113,3590.00
1975-1976,108,4120.00
1976-1977,108,4390.00
1977-1978,108,4665.00
1978-1979,110,5088.00
1979-1980,123,7700.00
1980-1981,126,6265.00
1982-1983,127,7700.00
1983-1984,136,8305.00
1984-1985,139,9995.00
1985-1986,142,12390.00
1986-1987,137,11445.00
1987-1988,146,12390.00
1988-1989,150,13596.00
1989-1990,160,14894.00
1990-1991,169,16294.00
1991-1992,173,17840.00
1992-1993,175,19420.00
1993-1994,176,21037.00
1994-1995,175,27521.00
1995-1996,148,23990.00
1996 - 1997,149,25267.00
1997-1998,148,26513.00
1998-1999,149,27521.00
1999-2000,149,28568.00
2000-2001,154,29666.00
2001-2002,249,30823.00
2002-2003,258,32024.00
2003-2004,255,33274.00
2004-2005,258,34903.00
2005-2006,260,36825.00
2006-2007,256,38784.00
2007-2008,160,40814.00
