Rank,[500-Rank],Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,Records,Extra,,GICS Sector!,Energy Productivity!,Carbon Productivity!,Water Productivity!,Waste Productivity!
271.744186,228.255814,0.303488372,Consumer Discretionary,0.024651163,0.033372093,0.020697674,0.017906977,0.11755814,86,Consumer Discretionary,,Consumer Discretionary,0.024651163,0.033372093,0.020697674,0.017906977
163.6,336.4,0.4655,Consumer Staples,0.05775,0.0685,0.05425,0.0455,0.09325,40,Consumer Staples,,Consumer Staples,0.05775,0.0685,0.05425,0.0455
382.1454545,117.8545455,0.164,Energy,0.016727273,0.024727273,0.014909091,0.013090909,0.026545455,55,Energy,,Energy,0.016727273,0.024727273,0.014909091,0.013090909
280,220,0.295764706,Financials,0.022470588,0.029529412,0.014470588,0.020470588,0.119882353,85,Financials,,Financials,0.022470588,0.029529412,0.014470588,0.020470588
226.9285714,273.0714286,0.370178571,HealthCare,0.034821429,0.044642857,0.029464286,0.026607143,0.148214286,56,HealthCare,,HealthCare,0.034821429,0.044642857,0.029464286,0.026607143
222.0701754,277.9298246,0.373684211,Industrials,0.032807018,0.046666667,0.033157895,0.035438596,0.112631579,57,Industrials,,Industrials,0.032807018,0.046666667,0.033157895,0.035438596
210.8955224,289.1044776,0.389850746,Information Technology,0.03761194,0.049552239,0.029701493,0.031940299,0.147910448,67,Information Technology,,Information Technology,0.03761194,0.049552239,0.029701493,0.031940299
181.3636364,318.6363636,0.441818182,Materials,0.049090909,0.056363636,0.050454545,0.043636364,0.086363636,22,Materials,,Materials,0.049090909,0.056363636,0.050454545,0.043636364
192.4285714,307.5714286,0.408571429,Telecommunication Services,0.041428571,0.031428571,0.018571429,0.012857143,0.16,7,Telecommunication Services,,Telecommunication Services,0.041428571,0.031428571,0.018571429,0.012857143
196.12,303.88,0.4092,Utilities,0.0324,0.0444,0.0364,0.0412,0.1148,25,Utilities,,Utilities,0.0324,0.0444,0.0364,0.0412
1,499,0.89,HealthCare,0.14,0.14,0.13,0.11,0.17,1,Top 10 Percent,,,,,,
2,498,0.84,HealthCare,0.12,0.13,0.12,0.13,0.14,1,Top 10 Percent,,,,,,
3,497,0.83,Information Technology,0.13,0.09,0.12,0.09,0.19,1,Top 10 Percent,,,,,,
4,496,0.81,Information Technology,0.14,0.13,0.14,0.09,0.13,1,Top 10 Percent,,,,,,
5,495,0.81,Materials,0.12,0.12,0.13,0.14,0.1,1,Top 10 Percent,,,,,,
6,494,0.79,Consumer Staples,0.14,0.1,0.12,0.12,0.1,1,Top 10 Percent,,,,,,
7,493,0.78,Materials,0.13,0.14,0.14,0.06,0.1,1,Top 10 Percent,,,,,,
8,492,0.75,Consumer Staples,0.12,0.14,0.12,0.11,0.07,1,Top 10 Percent,,,,,,
9,491,0.75,Financials,0.09,0.09,0.09,0.12,0.16,1,Top 10 Percent,,,,,,
10,490,0.75,Consumer Staples,0.09,0.13,0.12,0.11,0.1,1,Top 10 Percent,,,,,,
11,489,0.75,HealthCare,0.13,0.13,0.13,0.11,0.14,1,Top 10 Percent,,,,,,
12,488,0.75,Information Technology,0.11,0.13,0.11,0.14,0.11,1,Top 10 Percent,,,,,,
13,487,0.75,Financials,0.09,0.12,0.09,0.09,0.16,1,Top 10 Percent,,,,,,
14,486,0.74,Consumer Staples,0.13,0.15,0.11,0.1,0.1,1,Top 10 Percent,,,,,,
15,485,0.74,Consumer Discretionary,0.1,0.12,0.08,0.09,0.16,1,Top 10 Percent,,,,,,
16,484,0.74,Consumer Staples,0.13,0.14,0.12,0,0.14,1,Top 10 Percent,,,,,,
17,483,0.73,HealthCare,0.11,0.12,0.11,0.06,0.13,1,Top 10 Percent,,,,,,
18,482,0.73,Industrials,0.09,0.09,0.13,0.12,0.15,1,Top 10 Percent,,,,,,
19,481,0.71,Financials,0.13,0.14,0.04,0.07,0.14,1,Top 10 Percent,,,,,,
20,480,0.71,Information Technology,0.12,0.11,0.11,0.09,0.13,1,Top 10 Percent,,,,,,
21,479,0.7,HealthCare,0.08,0.09,0.08,0.08,0.17,1,Top 10 Percent,,,,,,
22,478,0.7,Utilities,0.1,0.13,0.08,0.07,0.11,1,Top 10 Percent,,,,,,
