Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
39,0.65,Consumer Discretionary,0.12,0.1,0.13,0.08,0.07,271.744186,0.303488372,Consumer Discretionary,0.024651163,0.033372093,0.020697674,0.017906977,0.11755814
64,0.59,Consumer Discretionary,0.09,0.09,0.1,0.02,0.09,163.6,0.4655,Consumer Staples,0.05775,0.0685,0.05425,0.0455,0.09325
468,0.07,Consumer Discretionary,0,0,0,0,0.07,382.1454545,0.164,Energy,0.016727273,0.024727273,0.014909091,0.013090909,0.026545455
113,0.53,Consumer Discretionary,0.06,0.05,0.08,0.07,0.07,280,0.295764706,Financials,0.022470588,0.029529412,0.014470588,0.020470588,0.119882353
117,0.52,Consumer Discretionary,0.1,0.08,0.12,0.09,0.07,226.9285714,0.370178571,Health Care,0.034821429,0.044642857,0.029464286,0.026607143,0.148214286
189,0.4,Consumer Discretionary,0.03,0.02,0.05,0.03,0.07,222.0701754,0.373684211,Industrials,0.032807018,0.046666667,0.033157895,0.035438596,0.112631579
364,0.16,Consumer Discretionary,0,0,0,0,0.16,210.8955224,0.389850746,Information Technology,0.03761194,0.049552239,0.029701493,0.031940299,0.147910448
465,0.09,Consumer Discretionary,0,0,0,0,0.09,181.3636364,0.441818182,Materials,0.049090909,0.056363636,0.050454545,0.043636364,0.086363636
326,0.21,Consumer Discretionary,0,0,0,0,0.16,192.4285714,0.408571429,Telecommunication Services,0.041428571,0.031428571,0.018571429,0.012857143,0.16
60,0.6,Consumer Discretionary,0.09,0.1,0.08,0.07,0.07,196.12,0.4092,Utilities,0.0324,0.0444,0.0364,0.0412,0.1148
100,0.54,Consumer Discretionary,0.11,0.1,0.1,0.09,0.04,,,,,,,,
107,0.54,Consumer Discretionary,0.02,0.01,0.1,0.08,0.12,,,,,,,,
112,0.53,Consumer Discretionary,0.06,0.08,0.06,0.06,0.07,,,,,,,,
114,0.53,Consumer Discretionary,0.06,0.08,0.04,0.02,0.12,,,,,,,,
140,0.49,Consumer Discretionary,0.1,0.08,0,0,0.1,,,,,,,,
163,0.43,Consumer Discretionary,0.02,0.11,0,0,0.1,,,,,,,,
196,0.4,Consumer Discretionary,0.01,0.01,0.06,0.01,0.12,,,,,,,,
231,0.36,Consumer Discretionary,0.04,0.04,0.02,0,0.12,,,,,,,,
238,0.35,Consumer Discretionary,0.05,0.05,0,0,0.1,,,,,,,,
256,0.32,Consumer Discretionary,0.01,0.03,0,0,0.12,,,,,,,,
300,0.26,Consumer Discretionary,0.04,0,0,0,0.12,,,,,,,,
335,0.2,Consumer Discretionary,0.02,0.02,0.01,0.03,0.12,,,,,,,,
362,0.17,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
79,0.57,Consumer Discretionary,0.05,0.03,0.13,0.1,0.15,,,,,,,,
108,0.53,Consumer Discretionary,0.05,0.05,0.07,0.06,0.15,,,,,,,,
244,0.34,Consumer Discretionary,0.04,0.02,0.03,0,0.15,,,,,,,,
312,0.23,Consumer Discretionary,0,0.02,0.01,0.01,0.14,,,,,,,,
333,0.2,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
294,0.27,Consumer Discretionary,0,0.14,0,0,0.13,,,,,,,,
326,0.21,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
402,0.13,Consumer Discretionary,0,0,0,0,0.13,,,,,,,,
402,0.13,Consumer Discretionary,0,0,0,0,0.13,,,,,,,,
414,0.12,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
414,0.12,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
299,0.26,Consumer Discretionary,0,0.01,0,0,0.1,,,,,,,,
414,0.12,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
15,0.74,Consumer Discretionary,0.1,0.12,0.08,0.09,0.16,,,,,,,,
91,0.55,Consumer Discretionary,0.11,0.12,0.04,0.02,0.16,,,,,,,,
142,0.47,Consumer Discretionary,0,0.11,0,0,0.16,,,,,,,,
159,0.44,Consumer Discretionary,0.12,0.07,0,0,0.1,,,,,,,,
198,0.39,Consumer Discretionary,0,0.08,0,0,0.16,,,,,,,,
204,0.39,Consumer Discretionary,0,0.06,0,0,0.13,,,,,,,,
226,0.36,Consumer Discretionary,0,0.03,0,0,0.13,,,,,,,,
255,0.32,Consumer Discretionary,0.01,0.01,0,0.01,0.14,,,,,,,,
273,0.29,Consumer Discretionary,0,0.09,0,0,0.16,,,,,,,,
298,0.26,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
326,0.21,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
326,0.21,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
364,0.16,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
364,0.16,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
364,0.16,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
364,0.16,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
364,0.16,Consumer Discretionary,0,0,0,0,0.16,,,,,,,,
383,0.15,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
95,0.55,Consumer Discretionary,0.12,0.1,0,0.12,0.11,,,,,,,,
122,0.51,Consumer Discretionary,0.08,0.04,0.02,0.06,0.11,,,,,,,,
147,0.47,Consumer Discretionary,0.04,0.06,0.05,0,0.12,,,,,,,,
297,0.26,Consumer Discretionary,0,0.01,0,0,0.1,,,,,,,,
323,0.22,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
426,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
35,0.65,Consumer Discretionary,0.13,0.07,0.08,0.08,0.1,,,,,,,,
123,0.51,Consumer Discretionary,0.05,0.13,0.08,0.06,0.1,,,,,,,,
125,0.51,Consumer Discretionary,0.03,0.04,0.12,0.03,0.1,,,,,,,,
174,0.41,Consumer Discretionary,0.12,0.09,0,0,0.1,,,,,,,,
