Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
NYK,Quincy Acy,PF,68,0.864204528,22,0.034711526,18.9,-0.07243606,2.2,-0.372347965,4.9,-0.427165138,0.459,0.319848112,0.3,-0.505812521,0.9,-0.554895793,2,-0.170552618,4,-0.238228913,0.494,0.327646943,0.486,0.141341457,1.1,-0.171575836,1.4,-0.241829451,0.784,0.43249346,1.2,0.433432512,3.3,0.480894928,4.4,0.450005322,1,-0.458161053,0.4,-0.543277623,0.3,-0.132751899,0.9,-0.302186771,2.2,0.698013067,5.9,-0.35639895
MEM,Jordan Adams,SG,30,-0.625807433,0,-0.813647648,8.3,-1.233533097,1.2,-0.882983157,2.9,-0.901833577,0.407,-0.185542958,0.3,-0.505812521,0.8,-0.612107887,0.8,-0.858753577,2,-0.811034166,0.41,-0.448385864,0.465,-0.061458612,0.5,-0.661112153,0.8,-0.634588634,0.609,-0.418326202,0.3,-0.696229893,0.6,-1.143060912,0.9,-1.050122148,0.5,-0.739488016,0.5,-0.310290974,0.2,-0.367592895,0.5,-0.817507236,0.8,-1.208968675,3.1,-0.882298735
OKC,Steven Adams,C,70,0.94262621,67,1.769991654,25.3,0.628603661,3.1,0.087223707,5.7,-0.237297762,0.544,1.14596813,0,-0.963151343,0,-1.069804639,3.1,0.46029826,5.7,0.248655552,0.547,0.817286691,0.544,0.701455933,1.5,0.154781708,2.9,0.740068507,0.502,-0.938541653,2.8,2.44172123,4.6,1.262799591,7.5,1.778689652,0.9,-0.514426446,0.5,-0.310290974,1.2,1.980817061,1.4,0.341963811,3.2,2.060142883,7.7,-0.018320516
MIN,Jeff Adrien,PF,17,-1.135548367,0,-0.813647648,12.6,-0.762522035,1.1,-0.934046676,2.6,-0.973033842,0.432,0.057433518,0,-0.963151343,0,-1.069804639,1.1,-0.686703337,2.6,-0.63919259,0.432,-0.245139176,0.432,-0.380144435,1.3,-0.008397064,2.2,0.28184946,0.579,-0.564181001,1.4,0.684468601,3.2,0.420748415,4.5,0.492866107,0.9,-0.514426446,0.2,-1.00925092,0.5,0.336930092,0.5,-0.817507236,1.8,0.153161141,3.5,-0.807170194
TOT,Arron Afflalo,SG,78,1.256312939,72,1.962800558,32.1,1.373458364,4.8,0.955303533,11.3,1.091773866,0.424,-0.020318954,1.5,1.323542764,4.3,1.390315402,3.3,0.57499842,7.1,0.64961923,0.466,0.068969341,0.491,0.189627187,2.1,0.644318024,2.5,0.478229051,0.843,0.719341232,0.3,-0.696229893,2.8,0.180162365,3.2,-0.064324096,1.7,-0.064303306,0.5,-0.310290974,0.1,-0.60243389,1.5,0.470793927,2.1,0.561800085,13.3,1.033479055
DEN,Arron Afflalo,SG,53,0.276041912,53,1.230126726,33,1.472042074,5.3,1.210621128,12.4,1.352841507,0.428,0.018557282,1.5,1.323542764,4.6,1.561951684,3.8,0.861748819,7.8,0.850101069,0.481,0.207546628,0.49,0.179970041,2.4,0.889086182,2.8,0.674608643,0.841,0.709617579,0.4,-0.570711848,3,0.30045539,3.4,0.021397473,1.9,0.048227479,0.6,-0.077304326,0.1,-0.60243389,1.6,0.599624044,2,0.425587104,14.5,1.258864678
POR,Arron Afflalo,SG,25,-0.821861638,19,-0.080973816,30.1,1.154383451,3.8,0.444668341,9.1,0.569638583,0.414,-0.117509545,1.4,1.17109649,3.6,0.989830744,2.3,0.001497621,5.5,0.191375027,0.423,-0.328285548,0.493,0.20894148,1.6,0.236371094,1.9,0.085469868,0.851,0.758235845,0.2,-0.821747938,2.4,-0.060423685,2.7,-0.278628021,1.1,-0.401895661,0.4,-0.543277623,0.1,-0.60243389,1.3,0.213133695,2.4,0.97043903,10.6,0.526361405
NOP,Alexis Ajinca,C,68,0.864204528,8,-0.505153403,14.1,-0.59821585,2.7,-0.11703037,4.8,-0.45089856,0.55,1.204282484,0,-0.963151343,0,-1.069804639,2.7,0.230897941,4.8,-0.009106812,0.55,0.845002148,0.55,0.75939881,1.2,-0.08998645,1.5,-0.176369587,0.818,0.597795566,1.5,0.809986646,3.1,0.360601903,4.6,0.535726892,0.7,-0.626957231,0.3,-0.776264272,0.8,1.041453079,1,-0.173356654,2.2,0.698013067,6.5,-0.243706138
PHI,Furkan Aldemir,PF,41,-0.194488181,9,-0.466591622,13.2,-0.696799561,1,-0.985110195,1.9,-1.139167796,0.513,0.8446773,0,-0.963151343,0.1,-1.012592545,1,-0.744053417,1.8,-0.868314692,0.548,0.826525177,0.513,0.402084402,0.3,-0.824290925,0.7,-0.700048498,0.481,-1.040640012,1.9,1.312058826,2.4,-0.060423685,4.3,0.407144537,0.7,-0.626957231,0.4,-0.543277623,0.4,0.102089096,0.4,-0.946337352,2.3,0.834226049,2.3,-1.032555817
NYK,Cole Aldrich,C,61,0.58972864,16,-0.196659158,16,-0.390094683,2.4,-0.270220927,4.9,-0.427165138,0.478,0.504510234,0,-0.963151343,0,-1.069804639,2.4,0.058847701,4.9,0.019533451,0.478,0.179831171,0.478,0.064084288,0.8,-0.416343994,1,-0.503668906,0.781,0.41790798,1.7,1.061022736,3.9,0.841774003,5.5,0.921473955,1.2,-0.345630268,0.6,-0.077304326,1.1,1.745976065,1,-0.173356654,2,0.425587104,5.5,-0.43152749
