Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
NYK,QuincyAcy,PF,0.864204528,0.034711526,-0.07243606,-0.372347965,-0.427165138,0.319848112,-0.505812521,-0.554895793,-0.170552618,-0.238228913,0.327646943,0.141341457,-0.171575836,-0.241829451,0.43249346,0.433432512,0.480894928,0.450005322,-0.458161053,-0.543277623,-0.132751899,-0.35639895,-0.302186771,0.698013067
MEM,JordanAdams,SG,-0.625807433,-0.813647648,-1.233533097,-0.882983157,-0.901833577,-0.185542958,-0.505812521,-0.612107887,-0.858753577,-0.811034166,-0.448385864,-0.061458612,-0.661112153,-0.634588634,-0.418326202,-0.696229893,-1.143060912,-1.050122148,-0.739488016,-0.310290974,-0.367592895,-0.882298735,-0.817507236,-1.208968675
OKC,StevenAdams,C,0.94262621,1.769991654,0.628603661,0.087223707,-0.237297762,1.14596813,-0.963151343,-1.069804639,0.46029826,0.248655552,0.817286691,0.701455933,0.154781708,0.740068507,-0.938541653,2.44172123,1.262799591,1.778689652,-0.514426446,-0.310290974,1.980817061,-0.018320516,0.341963811,2.060142883
MIN,JeffAdrien,PF,-1.135548367,-0.813647648,-0.762522035,-0.934046676,-0.973033842,0.057433518,-0.963151343,-1.069804639,-0.686703337,-0.63919259,-0.245139176,-0.380144435,-0.008397064,0.28184946,-0.564181001,0.684468601,0.420748415,0.492866107,-0.514426446,-1.00925092,0.336930092,-0.807170194,-0.817507236,0.153161141
TOT,ArronAfflalo,SG,1.256312939,1.962800558,1.373458364,0.955303533,1.091773866,-0.020318954,1.323542764,1.390315402,0.57499842,0.64961923,0.068969341,0.189627187,0.644318024,0.478229051,0.719341232,-0.696229893,0.180162365,-0.064324096,-0.064303306,-0.310290974,-0.60243389,1.033479055,0.470793927,0.561800085
DEN,ArronAfflalo,SG,0.276041912,1.230126726,1.472042074,1.210621128,1.352841507,0.018557282,1.323542764,1.561951684,0.861748819,0.850101069,0.207546628,0.179970041,0.889086182,0.674608643,0.709617579,-0.570711848,0.30045539,0.021397473,0.048227479,-0.077304326,-0.60243389,1.258864678,0.599624044,0.425587104
POR,ArronAfflalo,SG,-0.821861638,-0.080973816,1.154383451,0.444668341,0.569638583,-0.117509545,1.17109649,0.989830744,0.001497621,0.191375027,-0.328285548,0.20894148,0.236371094,0.085469868,0.758235845,-0.821747938,-0.060423685,-0.278628021,-0.401895661,-0.543277623,-0.60243389,0.526361405,0.213133695,0.97043903
NOP,AlexisAjinca,C,0.864204528,-0.505153403,-0.59821585,-0.11703037,-0.45089856,1.204282484,-0.963151343,-1.069804639,0.230897941,-0.009106812,0.845002148,0.75939881,-0.08998645,-0.176369587,0.597795566,0.809986646,0.360601903,0.535726892,-0.626957231,-0.776264272,1.041453079,-0.243706138,-0.173356654,0.698013067
PHI,FurkanAldemir,PF,-0.194488181,-0.466591622,-0.696799561,-0.985110195,-1.139167796,0.8446773,-0.963151343,-1.012592545,-0.744053417,-0.868314692,0.826525177,0.402084402,-0.824290925,-0.700048498,-1.040640012,1.312058826,-0.060423685,0.407144537,-0.626957231,-0.543277623,0.102089096,-1.032555817,-0.946337352,0.834226049
NYK,ColeAldrich,C,0.58972864,-0.196659158,-0.390094683,-0.270220927,-0.427165138,0.504510234,-0.963151343,-1.069804639,0.058847701,0.019533451,0.179831171,0.064084288,-0.416343994,-0.503668906,0.41790798,1.061022736,0.841774003,0.921473955,-0.345630268,-0.077304326,1.745976065,-0.43152749,-0.173356654,0.425587104
POR,LaMarcusAldridge,PF,0.981837051,1.924238777,1.734931969,3.253161894,3.132848152,0.387881525,-0.200919974,-0.211623229,3.729252813,3.914609174,0.152115713,0.073741434,2.439284516,2.180185512,0.729064886,2.065167096,3.127341482,2.935930843,-0.064303306,0.155682323,1.51113507,2.930474711,0.72845416,0.153161141
