Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,QuincyAcy,PF,68,22,18.9,2.2,4.9,0.459,0.3,0.9,2,4,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1,0.4,0.3,0.9,2.2,5.9
MEM,JordanAdams,SG,30,0,8.3,1.2,2.9,0.407,0.3,0.8,0.8,2,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1
OKC,StevenAdams,C,70,67,25.3,3.1,5.7,0.544,0,0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
MIN,JeffAdrien,PF,17,0,12.6,1.1,2.6,0.432,0,0,1.1,2.6,0.432,0.432,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
TOT,ArronAfflalo,SG,78,72,32.1,4.8,11.3,0.424,1.5,4.3,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3
DEN,ArronAfflalo,SG,53,53,33,5.3,12.4,0.428,1.5,4.6,3.8,7.8,0.481,0.49,2.4,2.8,0.841,0.4,3,3.4,1.9,0.6,0.1,1.6,2,14.5
POR,ArronAfflalo,SG,25,19,30.1,3.8,9.1,0.414,1.4,3.6,2.3,5.5,0.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6
NOP,AlexisAjinca,C,68,8,14.1,2.7,4.8,0.55,0,0,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1,2.2,6.5
PHI,FurkanAldemir,PF,41,9,13.2,1,1.9,0.513,0,0.1,1,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
NYK,ColeAldrich,C,61,16,16,2.4,4.9,0.478,0,0,2.4,4.9,0.478,0.478,0.8,1,0.781,1.7,3.9,5.5,1.2,0.6,1.1,1,2,5.5
POR,LaMarcusAldridge,PF,71,71,35.4,9.3,19.9,0.466,0.5,1.5,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1,1.7,1.8,23.4
IND,LavoyAllen,PF,63,0,17,2.2,4.7,0.472,0,0,2.2,4.7,0.472,0.472,0.5,0.7,0.702,2,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5
MEM,TonyAllen,SG,63,41,26.2,3.6,7.2,0.495,0.2,0.5,3.4,6.8,0.505,0.505,1.3,2,0.627,1.6,2.8,4.4,1.4,2,0.5,1.4,2.6,8.6
DAL,Al-FarouqAminu,SF,74,3,18.5,2,4.8,0.412,0.5,1.7,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
TOT,LouAmundson,PF,53,35,17.7,2.1,4.8,0.427,0,0,2.1,4.8,0.429,0.427,0.8,1.6,0.471,1.8,3.3,5.1,1.3,0.4,1,1.2,2.4,4.9
