Year,Tuition,Adjusted Tuition to 2014
1912-1913,94,2247.796364
1913-1914,94,2225.3184
1914-1915,94,2203.285545
1915-1916,95,2063.295413
1916-1917,158,2922.21
1917-1918,159,2492.783046
1918-1919,159,2175.781734
1919-1920,224,2651.4432
1920-1921,225,2975.731844
1921-1922,257,3621.497143
1922-1923,269,3724.092632
1923-1924,269,3724.092632
1924-1925,275,3720.137143
1925-1926,286.5,3831.91322
1926-1927,233,3170.085517
1927-1928,233,3225.701053
1928-1929,225.5,3121.869474
1929-1930,268.5,3806.204551
1930-1931,348.5,5427.795789
1931-1932,348.5,6022.08
1932-1933,349,6355.451077
1933-1934,350.5,6192.236418
1934-1935,494.5,8544.96
1935-1936,504.5,8592.324604
1936-1937,498,8187.12
1937-1938,498,8361.314043
1938-1939,498,8481.620719
1939-1940,534.5,9038.242286
1940-1941,518,8342.125714
1941-1942,518,7523.266748
1942-1943,540,7389.447399
1943-1944,540,7263.490909
1944-1945,690,9074.88
1945-1946,465,5645.243077
1946-1947,480,5095.66278
1947-1948,485,4764.189212
1948-1949,485,4824.242017
1949-1950,505,4960.650622
1950-1951,1015,9241.809231
1951-1952,1015,9067.435472
1952-1953,1095,9708.835955
1953-1954,1095,9636.651301
1954-1955,1115,9849.277612
1955-1956,1115,9704.435294
1956-1957,1215,10236.09395
1957-1958,1265,10362.31972
1958-1959,1365,11104.6268
1959-1960,1365,10917.04865
1960-1961,1465,11599.27224
1961-1962,1490,11680.02119
1962-1963,1615,12494.4
1963-1964,1715,13096.84645
1964-1965,2045,15369.05143
1965-1966,2000,14613.33333
1966-1967,2140,15168.11497
1967-1968,2345,15952.46897
1968-1969,2345,15126.59183
1969-1970,2605,15894.25979
1970-1971,2830,16542.29333
1971-1972,3165,17925.10622
1972-1973,3390,18075.11351
1973-1974,3590,17238.99067
1974-1975,3590,15797.06766
1975-1976,4120,17141.51705
1976-1977,4390,17149.68713
1977-1978,4665,16938.24294
1978-1979,5088,16591.08496
1979-1980,7700,22122.17476
1980-1981,6265,16316.29307
1982-1983,7700,18889.81554
1983-1984,8305,19739.88434
1984-1985,9995,22773.59307
1985-1986,12390,27259.84238
1986-1987,11445,24721.2
1987-1988,12390,25820.06197
1988-1989,13596,27207.63023
1989-1990,14894,28435.04826
1990-1991,16294,29513.20875
1991-1992,17840,31008.59207
1992-1993,19420,32768.44704
1993-1994,21037,34465.15731
1994-1995,27521,43962.29053
1995-1996,23990,37265.72598
1996-1997,25267,38123.69989
1997-1998,26513,39106.42721
1998-1999,27521,39970.62243
1999-2000,28568,40594.68216
2000-2001,29666,40784.03122
2001-2002,30823,41202.2232
2002-2003,32024,42141.37668
2003-2004,33274,42810.61774
2004-2005,34903,43741.6443
2005-2006,36825,44638.00922
2006-2007,38784,45543.49714
2007-2008,40814,46609.46987
