Date,<22,22-24,25-34,35-44,45-54,55-59,60-64,>=65,Total,<22%,22-24%,25-34%,35-44%,45-54%,55-59%,60-64%,>=65%,<22C,22-24C,25-34C,35-44C,45-54C,55-59C,60-64C,>=65C,INA,FEMALE,MALE,Total,FEMALE%,MALE%,"Arts, Entertainment & Recreation"
6/30/07,1609,3768,15999,14954,16600,6318,4291,3224,66763,2.410017525,5.643844644,23.9638722,22.39863397,24.86407142,9.463325495,6.427212678,4.829022063,0,1609,5377,21376,36330,52930,59248,63539,38,35518,31265,66783,53.18419358,46.81580642,896
7/31/07,1665,3558,15074,13835,15232,5859,3879,2906,62008,2.685137402,5.737969294,24.30976648,22.31163721,24.56457231,9.448780802,6.255644433,4.686492066,0,1665,5223,20297,34132,49364,55223,59102,51,32985,29028,62013,53.19046006,46.80953994,997
8/31/07,1639,3170,13500,11949,13051,4987,3158,1976,53430,3.067565038,5.932996444,25.2667041,22.36384054,24.42635224,9.333707655,5.910537151,3.698296837,0,1639,4809,18309,30258,43309,48296,51454,57,26319,27105,53424,49.26437556,50.73562444,937
9/30/07,1578,3120,12590,11166,12481,4681,2862,1818,50296,3.137426436,6.203276603,25.03181167,22.20057261,24.81509464,9.306903133,5.690313345,3.614601559,0,1578,4698,17288,28454,40935,45616,48478,55,24269,26030,50299,48.24946818,51.75053182,728
10/31/07,2142,3799,14715,12926,14104,5313,3175,2109,58283,3.675171148,6.5181957,25.24749927,22.17799358,24.19916614,9.11586569,5.447557607,3.618550864,0,2142,5941,20656,33582,47686,52999,56174,73,26456,31807,58263,45.4078918,54.5921082,1011
11/30/07,2036,3662,14487,12946,14113,5310,3119,2188,57861,3.51877776,6.328960785,25.03759009,22.37431085,24.39121343,9.177165967,5.390504831,3.781476297,0,2036,5698,20185,33131,47244,52554,55673,70,23336,34519,57855,40.33532106,59.66467894,1341
12/31/07,1466,3836,16666,15051,16808,6483,4152,3469,67931,2.158072161,5.64690642,24.53371804,22.15630566,24.74275368,9.543507382,6.112084321,5.106652338,0,1466,5302,21968,37019,53827,60310,64462,78,26504,41399,67903,39.0321488,60.9678512,2313
1/31/08,1400,3702,15728,14101,15917,6131,3843,3092,63914,2.190443408,5.792158213,24.60806709,22.06245893,24.90377695,9.592577526,6.012767156,4.837750728,0,1400,5102,20830,34931,50848,56979,60822,65,24066,39834,63900,37.66197183,62.33802817,1978
2/29/08,1178,3084,13401,12476,14052,5370,3390,2647,55598,2.118781251,5.546962121,24.10338501,22.4396561,25.27429044,9.658620814,6.097341631,4.760962625,0,1178,4262,17663,30139,44191,49561,52951,72,22685,32888,55573,40.82018246,59.17981754,1320
3/31/08,1056,2639,11820,10734,12112,4705,2870,1968,47904,2.204408818,5.508934536,24.6743487,22.40731463,25.28390114,9.821726787,5.991148965,4.108216433,0,1056,3695,15515,26249,38361,43066,45936,78,20795,27069,47864,43.44601371,56.55398629,746
4/30/08,1125,2660,11487,10874,12004,4584,2799,1864,47397,2.373567947,5.612169547,24.23571112,22.94238032,25.32649746,9.671498196,5.905437053,3.932738359,0,1125,3785,15272,26146,38150,42734,45533,74,21167,26196,47363,44.69100353,55.30899647,626
5/31/08,1119,2569,11380,11266,12841,5115,3220,2611,50121,2.232597115,5.125596058,22.70505377,22.4776042,25.6199996,10.20530317,6.424452824,5.209393268,0,1119,3688,15068,26334,39175,44290,47510,57,25860,24243,50103,51.61367583,48.38632417,555
6/30/08,1201,2907,12406,12214,13566,5418,3484,2764,53960,2.225722758,5.387323944,22.99110452,22.6352854,25.14084507,10.04077094,6.456634544,5.122312824,0,1201,4108,16514,28728,42294,47712,51196,56,28036,25898,53934,51.98205214,48.01794786,634
7/31/08,1353,2913,11834,10917,12161,4792,2899,1974,48843,2.770100117,5.964007125,24.22865098,22.35120693,24.89814303,9.811027169,5.935343857,4.041520791,0,1353,4266,16100,27017,39178,43970,46869,56,24379,24445,48824,49.93241029,50.06758971,603
8/31/08,1337,2676,11358,10544,11942,4642,2751,1641,46891,2.851293425,5.706852061,24.22213218,22.48619138,25.46757373,9.899554285,5.866797466,3.499605468,0,1337,4013,15371,25915,37857,42499,45250,48,21540,25340,46880,45.94709898,54.05290102,560
9/30/08,1206,2448,10251,9281,10158,3911,2396,1508,41159,2.930100343,5.947666367,24.90585291,22.54913871,24.6798999,9.502174494,5.821327049,3.663840229,0,1206,3654,13905,23186,33344,37255,39651,43,19391,21767,41158,47.11356237,52.88643763,510
10/31/08,1112,2139,9165,8172,9486,3719,2252,1556,37601,2.957368155,5.688678493,24.37435175,21.73346454,25.22805245,9.890694396,5.989202415,4.138187814,0,1112,3251,12416,20588,30074,33793,36045,52,16369,21212,37581,43.55658444,56.44341556,724
11/30/08,1806,3288,13026,11693,12909,5012,2916,1932,52582,3.434635427,6.253090411,24.77273592,22.23764786,24.55022631,9.531778936,5.545623978,3.674261154,0,1806,5094,18120,29813,42722,47734,50650,76,21506,31085,52591,40.89292845,59.10707155,1236
12/31/08,1263,3569,15857,14485,16250,6749,4215,3313,65701,1.92234517,5.432185203,24.13509688,22.0468486,24.73326129,10.27229418,6.415427467,5.042541209,0,1263,4832,20689,35174,51424,58173,62388,83,25363,40296,65659,38.62836778,61.37163222,1990
