Rk,Team,FG,,FG,FGA,,FGA,FG%,,FG%,3P,,3P,3PA,,3PA,3P%,,3P%,2P,,2P,2PA,,2PA,2P%,,2P%,FT,,FT,FTA,,FTA,FT%,,FT%,ORB,,ORB,DRB,,DRB,TRB,,TRB,AST,,AST,STL,,STL,BLK,,BLK,TOV,,TOV,PF,,PF,PTS/G,,PTS/G,Colley Rank Score,,Colley Rank Score,Colley Rank
1,GSW,3410,2.597967541,2.597967541,7137,1.479535252,1.479535252,0.478,1.905038441,1.905038441,883,1.799246116,1.799246116,2217,1.111488923,1.111488923,0.398,2.705182882,2.705182882,2527,0.671307269,0.671307269,4920,-0.285870409,-0.285870409,0.514,1.531815887,1.531815887,1313,-0.675726062,-0.675726062,1709,-0.911027818,-0.911027818,0.768,0.650987402,0.650987402,853,-0.496591136,-0.496591136,2814,1.326649797,1.326649797,3667,0.809170304,0.809170304,2248,2.952064805,2.952064805,762,1.567779247,1.567779247,496,1.806361627,1.806361627,1185,0.075541183,0.075541183,1628,-0.255016046,-0.255016046,110,2.374782535,2.374782535,0.805,1.975455108,1.975455108,1
2,LAC,3228,1.200905654,1.200905654,6830,-0.117937876,-0.117937876,0.473,1.602644535,1.602644535,827,1.401712295,1.401712295,2202,1.085146577,1.085146577,0.376,1.511032951,1.511032951,2401,-0.231359075,-0.231359075,4628,-1.189112548,-1.189112548,0.519,1.83421181,1.83421181,1468,0.465868235,0.465868235,2067,1.092260007,1.092260007,0.71,-1.551726491,-1.551726491,784,-1.382282418,-1.382282418,2711,0.461514184,0.461514184,3495,-0.388016203,-0.388016203,2031,1.525081426,1.525081426,640,0.070488332,0.070488332,409,0.281851075,0.281851075,1012,-1.597724965,-1.597724965,1749,0.800351593,0.800351593,106.7,1.616204982,1.616204982,0.685,1.218119951,1.218119951,4
3,DAL,3255,1.414541793,1.414541793,7036,0.970431017,0.970431017,0.463,0.934875979,0.934875979,732,0.676731138,0.676731138,2082,0.727501032,0.727501032,0.352,0.161442896,0.161442896,2523,0.653373,0.653373,4954,-0.185926021,-0.185926021,0.509,1.282702924,1.282702924,1386,-0.143934573,-0.143934573,1843,-0.170586062,-0.170586062,0.752,0.051724216,0.051724216,858,-0.441345959,-0.441345959,2608,-0.42567112,-0.42567112,3466,-0.592127711,-0.592127711,1846,0.266976999,0.266976999,663,0.357677935,0.357677935,371,-0.397127588,-0.397127588,1062,-1.11375512,-1.11375512,1644,-0.119219334,-0.119219334,105.2,1.253494887,1.253494887,0.62,0.790208961,0.790208961,9
4,OKC,3184,0.852757873,0.852757873,7119,1.40894858,1.40894858,0.447,-0.133553711,-0.133553711,632,-0.086406922,-0.086406922,1864,0.077778292,0.077778292,0.339,-0.56958505,-0.56958505,2552,0.863678166,0.863678166,5255,0.740329024,0.740329024,0.486,0.014232487,0.014232487,1524,0.882318934,0.882318934,2020,0.827287841,0.827287841,0.754,0.128079012,0.128079012,1052,2.025433407,2.025433407,2844,1.607102975,1.607102975,3896,2.434353264,2.434353264,1681,-0.855116139,-0.855116139,598,-0.453944856,-0.453944856,454,1.085904756,1.085904756,1205,0.270398636,0.270398636,1829,1.50097706,1.50097706,104,0.963326811,0.963326811,0.556,0.368881217,0.368881217,12
5,TOR,3108,0.251411704,0.251411704,6829,-0.12322122,-0.12322122,0.455,0.400661134,0.400661134,726,0.630942854,0.630942854,2060,0.661932682,0.661932682,0.352,0.161442896,0.161442896,2382,-0.369145218,-0.369145218,4769,-0.755218989,-0.755218989,0.499,0.731194039,0.731194039,1585,1.335952731,1.335952731,2014,0.793461607,0.793461607,0.787,1.38793314,1.38793314,881,-0.148892735,-0.148892735,2526,-1.131973983,-1.131973983,3407,-1.007389054,-1.007389054,1701,-0.71910485,-0.71910485,615,-0.24167428,-0.24167428,357,-0.647277622,-0.647277622,1057,-1.162152105,-1.162152105,1712,0.476312314,0.476312314,104,0.963326811,0.963326811,0.578,0.513712629,0.513712629,11
6,HOU,3032,-0.349934464,-0.349934464,6832,-0.107371187,-0.107371187,0.444,-0.333884278,-0.333884278,933,2.210638639,2.210638639,2680,2.509767998,2.509767998,0.348,-0.063488779,-0.063488779,2099,-2.421433558,-2.421433558,4152,-2.653887968,-2.653887968,0.506,1.117250259,1.117250259,1525,0.889755554,0.889755554,2133,1.464348581,1.464348581,0.715,-1.360839502,-1.360839502,958,0.830189797,0.830189797,2624,-0.287855927,-0.287855927,3582,0.22431832,0.22431832,1820,0.090162323,0.090162323,777,1.781139445,1.781139445,407,0.246115356,0.246115356,1366,1.828781536,1.828781536,1803,1.273273783,1.273273783,103.9,0.939146138,0.939146138,0.686,1.224703197,1.224703197,3
7,SAS,3208,1.042656663,1.042656663,6854,0.008862384,0.008862384,0.468,1.268760257,1.268760257,677,0.257005205,0.257005205,1847,0.02711184,0.02711184,0.367,1.004936681,1.004936681,2531,0.711388218,0.711388218,5007,-0.022831279,-0.022831279,0.505,1.06209937,1.06209937,1368,-0.277793726,-0.277793726,1754,-0.672341866,-0.672341866,0.78,1.120691355,1.120691355,806,-1.102544552,-1.102544552,2772,0.986934607,0.986934607,3578,0.196165008,0.196165008,2000,1.314263928,1.314263928,657,0.282758908,0.282758908,444,0.90722616,0.90722616,1146,-0.300685781,-0.300685781,1564,-0.819844801,-0.819844801,103.2,0.769881427,0.769881427,0.672,1.132537753,1.132537753,6
8,CLE,3089,0.101075162,0.101075162,6739,-0.598722192,-0.598722192,0.458,0.600991701,0.600991701,826,1.394080915,1.394080915,2253,1.237145934,1.237145934,0.367,1.004936681,1.004936681,2263,-1.232121587,-1.232121587,4486,-1.626083367,-1.626083367,0.504,1.006948482,1.006948482,1453,0.354318941,0.354318941,1934,0.342445154,0.342445154,0.751,0.013546819,0.013546819,911,0.232567991,0.232567991,2612,-0.391217322,-0.391217322,3523,-0.190943023,-0.190943023,1814,0.049358936,0.049358936,603,-0.391512334,-0.391512334,340,-0.951031235,-0.951031235,1171,-0.058700859,-0.058700859,1510,-1.292766992,-1.292766992,103.1,0.745700754,0.745700754,0.632,0.869207913,0.869207913,7
9,POR,3175,0.781545826,0.781545826,7049,1.03911449,1.03911449,0.45,0.066776856,0.066776856,807,1.249084683,1.249084683,2231,1.171577584,1.171577584,0.362,0.723772086,0.723772086,2368,-0.47067185,-0.47067185,4818,-0.604433284,-0.604433284,0.491,0.28998693,0.28998693,1272,-0.99170921,-0.99170921,1589,-1.6025633,-1.6025633,0.801,1.922416709,1.922416709,879,-0.17432345,-0.17432345,2881,1.925800609,1.925800609,3760,1.477140677,1.477140677,1799,-0.052649531,-0.052649531,525,-1.365459683,-1.365459683,372,-0.379259729,-0.379259729,1117,-0.581388291,-0.581388291,1494,-1.432892085,-1.432892085,102.8,0.673158735,0.673158735,0.623,0.809958699,0.809958699,8
10,ATL,3121,0.354273549,0.354273549,6699,-0.810055958,-0.810055958,0.466,1.135206546,1.135206546,818,1.33302987,1.33302987,2152,0.9361276,0.9361276,0.38,1.735964627,1.735964627,2303,-0.942045497,-0.942045497,4547,-1.43837055,-1.43837055,0.506,1.117250259,1.117250259,1349,-0.419089499,-0.419089499,1735,-0.779458273,-0.779458273,0.778,1.044336559,1.044336559,715,-2.25964209,-2.25964209,2611,-0.399830771,-0.399830771,3326,-1.577493609,-1.577493609,2111,2.069126584,2.069126584,744,1.369084797,1.369084797,380,-0.236316852,-0.236316852,1167,-0.097418446,-0.097418446,1457,-1.756931364,-1.756931364,102.5,0.600616716,0.600616716,0.705,1.349784871,1.349784871,2
