Category,GSW,LAC,DAL,OKC,TOR,HOU,SAS,CLE,POR,ATL,PHO,DEN,BOS,SAC,CHI,NOP,LAL,WAS,DET,MEM,BKN,MIL,MIN,IND,ORL,UTA,MIA,CHA,PHI,NYK
FG,2.597967541,1.200905654,1.414541793,0.852757873,0.251411704,-0.349934464,1.042656663,0.101075162,0.781545826,0.354273549,0.805283175,0.180199658,0.923969919,-0.524008355,-0.595220401,0.251411704,-0.175860573,0.496697641,-0.278722418,0.164374759,-0.057173829,0.053600465,-0.713907144,-0.61895775,-0.001786682,-1.394377808,-1.513064552,-1.291515964,-2.462558502,-1.536801901
FGA,1.479535252,-0.117937876,0.970431017,1.40894858,-0.12322122,-0.107371187,0.008862384,-0.598722192,1.03911449,-0.810055958,0.980997705,1.614999001,1.895016241,-1.243290177,-0.292288232,-0.30285492,0.88589751,-0.329271641,0.980997705,-0.471921933,-0.255304823,-0.688539042,-0.170771317,-0.14963794,-0.318704953,-1.903708194,-2.759609944,0.420963226,-0.397955115,-0.667405666
FG%,1.905038441,1.602644535,0.934875979,-0.133553711,0.400661134,-0.333884278,1.268760257,0.600991701,0.066776856,1.135206546,0.200330567,-1.06842969,-0.400661134,0.400661134,-0.467437989,0.534214845,-0.934875979,0.868099123,-1.135206546,0.600991701,0.133553711,0.667768556,-0.734545412,-0.667768556,0.267107422,-0.133553711,0.467437989,-1.936528813,-2.73785108,-1.402313968
3P,1.799246116,1.401712295,0.676731138,-0.086406922,0.630942854,2.210638639,0.257005205,1.394080915,1.249084683,1.33302987,0.417264198,0.127271735,0.127271735,-1.391373006,0.012801026,-0.43745043,-0.849544983,-1.116643304,0.455421101,-1.681365469,-0.780862557,-0.750337035,-1.811098939,-0.239034534,-0.681654609,-0.254297296,-0.666391848,-1.109011923,0.371475914,-0.635866326
3PA,1.111488923,1.085146577,0.727501032,0.077778292,0.661932682,2.509767998,0.02711184,1.237145934,1.171577584,0.9361276,0.626168128,0.578482055,0.54569788,-1.454136793,-0.03845651,-0.759708359,-0.869982402,-1.361745027,0.61126623,-1.764096265,-0.610689382,-1.007079861,-1.832644994,-0.291788771,-0.715002666,-0.16959321,-0.533199514,-0.810374812,0.959970636,-0.667316594
3P%,2.705182882,1.511032951,0.161442896,-0.56958505,0.161442896,-0.063488779,1.004936681,1.004936681,0.723772086,1.735964627,-0.457119212,-1.356845915,-1.244380078,-0.457119212,0.217675815,1.173635438,-0.288420455,0.611306248,-0.288420455,-0.56958505,-1.019448402,0.780005005,-0.963215483,0.161442896,-0.119721698,-0.344653374,-0.794516726,-1.750476348,-1.63801051,-0.119721698
2P,0.671307269,-0.231359075,0.653373,0.863678166,-0.369145218,-2.421433558,0.711388218,-1.232121587,-0.47067185,-0.942045497,0.341541203,0.044213211,0.725892023,0.841922459,-0.557694677,0.646121098,0.646121098,1.516349369,-0.688228918,1.748410242,0.689632512,0.762151534,1.066731429,-0.340137609,0.646121098,-1.036320226,-0.753496038,-0.129832444,-2.609983016,-0.804259354
2PA,-0.285870409,-1.189112548,-0.185926021,0.740329024,-0.755218989,-2.653887968,-0.022831279,-1.626083367,-0.604433284,-1.43837055,-0.075144686,0.343362576,0.540307171,0.777256136,-0.130535354,0.608006875,1.414248808,1.214226954,-0.05975839,1.546570957,0.481839244,0.638779468,1.7927517,0.214117686,0.552616208,-0.933700027,-1.056790399,1.081904805,-1.2229624,0.300280946
2P%,1.531815887,1.83421181,1.282702924,0.014232487,0.731194039,1.117250259,1.06209937,1.006948482,0.28998693,1.117250259,0.620892262,-0.537276398,0.124534265,-0.09606929,-0.647578175,-0.09606929,-1.364539727,0.124534265,-0.978483507,-0.040918401,0.179685153,0.014232487,-1.364539727,-0.923332618,0.014232487,0.014232487,0.731194039,-1.971199501,-2.02635039,-1.750595947
FT,-0.675726062,0.465868235,-0.143934573,0.882318934,1.335952731,0.889755554,-0.277793726,0.354318941,-0.99170921,-0.419089499,-0.463709217,0.421248518,-1.036328927,3.150487917,1.581361178,-0.448835978,0.205586549,-0.746300762,-0.842976817,0.294825984,-0.344723303,-0.694244425,1.73009357,-0.240610628,-1.965906379,-0.106751475,0.242769647,-0.062131757,-0.634751468,-1.445343006
FTA,-0.911027818,1.092260007,-0.170586062,0.827287841,0.793461607,1.464348581,-0.672341866,0.342445154,-1.6025633,-0.779458273,-0.599051692,0.663794376,-1.100807496,2.969615993,1.092260007,-0.469384462,0.348082859,-0.649791043,-0.19877459,-0.024005714,-0.317166409,-0.785095979,1.33468135,-0.317166409,-1.737868236,0.314256625,0.376271388,-0.035281126,0.449561561,-1.681491179
FT%,0.650987402,-1.551726491,0.051724216,0.128079012,1.38793314,-1.360839502,1.120691355,0.013546819,1.922416709,1.044336559,0.357143399,-0.635468944,0.128079012,0.433498194,1.235223548,0.013546819,-0.368227159,-0.330049762,-1.818968276,0.85344957,-0.100985375,0.242611205,0.967981764,0.204433808,-0.826355933,-1.131775116,-0.368227159,-0.100985375,-2.849758017,0.700739979
ORB,-0.496591136,-1.382282418,-0.441345959,2.025433407,-0.148892735,0.830189797,-1.102544552,0.232567991,-0.17432345,-2.25964209,0.041837628,1.516819105,0.219852634,0.029122271,0.842905154,0.626744076,0.753897651,-0.390484529,2.012718049,-0.466776674,-0.59393025,-0.212469523,0.715751579,-0.466776674,-0.899098831,1.211650523,-1.852750648,-0.924529546,1.084496948,-0.326907741
DRB,1.326649797,0.461514184,-0.42567112,1.607102975,-1.131973983,-0.287855927,0.986934607,-0.391217322,1.925800609,-0.399830771,-0.124200386,-0.03806589,0.237564496,0.607942827,1.159203598,-0.313696276,-0.089746587,1.236724644,-0.23617523,-0.201721432,-0.262015578,-0.718528405,-2.16558793,1.417607085,-0.434284569,-0.348150074,-1.691848204,1.167817048,-1.045839488,-1.846890296
TRB,0.809170304,-0.388016203,-0.592127711,2.434353264,-1.007389054,0.22431832,0.196165008,-0.190943023,1.477140677,-1.577493609,-0.078329778,0.808499531,0.315816582,0.512889762,1.413795726,0.090590091,0.343969893,0.794422875,0.921112777,-0.423207842,-0.542859416,-0.704740956,-1.373382102,0.899997793,-0.852545841,0.38619986,-2.408016295,0.442506483,-0.254287974,-1.690106855
AST,2.952064805,1.525081426,0.266976999,-0.855116139,-0.71910485,0.090162323,1.314263928,0.049358936,-0.052649531,2.069126584,-1.004728558,-0.127455741,1.375469008,-0.950324042,-0.175059692,-0.00504558,-0.623896947,1.103446429,-0.243065337,-0.20226195,-0.617096383,0.851825543,-0.243065337,-0.338273239,-0.78030993,-1.188343798,-1.229147185,-1.03873138,-0.84151501,-0.413079448
STL,1.567779247,0.070488332,0.357677935,-0.453944856,-0.24167428,1.781139445,0.282758908,-0.391512334,-1.365459683,1.369084797,0.8196786,0.082974836,0.495029484,-1.053297071,-1.502811232,-1.015837557,-0.703674946,-0.416485343,-0.141782244,0.8196786,-0.728647955,1.930977498,0.420110457,-1.615189772,0.157893863,-0.141782244,0.095461341,-1.690108799,1.930977498,-0.741134459
BLK,1.806361627,0.281851075,-0.397127588,1.085904756,-0.647277622,0.246115356,0.90722616,-0.951031235,-0.379259729,-0.236316852,-0.146977555,-0.468599027,-1.772952775,-1.236916988,1.478997666,2.086504891,-0.486466886,-0.272052571,-0.182713274,-0.825956218,-0.951031235,0.174643918,-1.183313409,-0.32565615,-1.415595584,1.711279841,-0.379259729,0.978697598,1.675544121,-0.200581133
TOV,0.075541183,-1.597724965,-1.11375512,0.270398636,-1.162152105,1.828781536,-0.300685781,-0.058700859,-0.581388291,-0.097418446,0.589818733,-0.107097843,-0.426517941,1.509361439,-0.310365178,-0.871770198,-0.881449595,0.541421749,-0.755617435,-0.80401442,-0.426517941,1.896537315,0.522062955,-0.291006384,0.425268986,0.764047878,0.357513208,-1.946183253,2.670889066,0.280078033
PF,-0.255016046,0.800351593,-0.119219334,1.50097706,0.476312314,1.273273783,-0.819844801,-1.292766992,-1.432892085,-1.756931364,0.756562501,1.965141432,0.704015591,0.33618722,-1.424134267,-1.117610625,0.730289046,0.432523222,-0.863633893,-0.793571346,-0.688477526,1.369609785,-0.758540073,0.739046864,0.493827951,-0.653446253,-0.18928188,-1.432892085,1.054328325,0.966750141
PTS/G,2.374782535,1.616204982,1.253494887,0.963326811,0.963326811,0.939146138,0.769881427,0.745700754,0.673158735,0.600616716,0.576436043,0.358809986,0.334629313,0.31044864,0.189545275,-0.148984146,-0.366610203,-0.366610203,-0.366610203,-0.414971549,-0.487513568,-0.535874914,-0.535874914,-0.656778279,-1.043669047,-1.188753085,-1.285475777,-1.406379142,-1.938353947,-1.96253462
Colley Rank Score,1.975455108,1.218119951,0.790208961,0.368881217,0.513712629,1.224703197,1.132537753,0.869207913,0.809958699,1.349784871,-0.065613019,-0.776603586,-0.177528201,-0.816103062,0.612461319,0.368881217,-1.434928186,0.289882265,-0.756853848,1.145704245,-0.282860136,-0.091946003,-1.803589962,-0.322359612,-1.270347036,-0.131445479,-0.37502558,-0.677854896,-1.803589962,-1.915505144
